exposure,outcome,id.exposure,id.outcome,samplesize,SNP,b,se,p
Sugar added to tea,"Atrial fibrillation (AFGen 2018, EUR)",ukb-b-8442,ebi-a-GCST006061,537409,rs11643519,-0.0346713819746152,0.392053319251418,0.929530646919256
Sugar added to tea,"Atrial fibrillation (AFGen 2018, EUR)",ukb-b-8442,ebi-a-GCST006061,537409,rs12184890,0.151510346747284,0.345302650726369,0.660824206988386
Sugar added to tea,"Atrial fibrillation (AFGen 2018, EUR)",ukb-b-8442,ebi-a-GCST006061,537409,rs148796113,0.128692712535054,0.41873151242749,0.758585011349494
Sugar added to tea,"Atrial fibrillation (AFGen 2018, EUR)",ukb-b-8442,ebi-a-GCST006061,537409,rs237362,0.162584001734229,0.384289458644542,0.672239138726747
Sugar added to tea,"Atrial fibrillation (AFGen 2018, EUR)",ukb-b-8442,ebi-a-GCST006061,537409,rs2527164,0.338010005096151,0.400411852190825,0.398582325242947
Sugar added to tea,"Atrial fibrillation (AFGen 2018, EUR)",ukb-b-8442,ebi-a-GCST006061,537409,rs4750827,0.18381367420558,0.390604057686858,0.637934810590957
Sugar added to tea,"Atrial fibrillation (AFGen 2018, EUR)",ukb-b-8442,ebi-a-GCST006061,537409,rs506917,-0.414551288608454,0.430702637515277,0.335798503195353
Sugar added to tea,"Atrial fibrillation (AFGen 2018, EUR)",ukb-b-8442,ebi-a-GCST006061,537409,rs549845,0.0881843363869321,0.399423170693751,0.825264343778052
Sugar added to tea,"Atrial fibrillation (AFGen 2018, EUR)",ukb-b-8442,ebi-a-GCST006061,537409,rs56094641,-0.931482523802351,0.289354145691794,0.00128558618725115
Sugar added to tea,"Atrial fibrillation (AFGen 2018, EUR)",ukb-b-8442,ebi-a-GCST006061,537409,rs5771839,-0.61521777666552,0.444903250921958,0.166722365185177
Sugar added to tea,"Atrial fibrillation (AFGen 2018, EUR)",ukb-b-8442,ebi-a-GCST006061,537409,rs58566315,0.0266601102543671,0.373241543561139,0.943056670967043
Sugar added to tea,"Atrial fibrillation (AFGen 2018, EUR)",ukb-b-8442,ebi-a-GCST006061,537409,rs6737082,0.322293951616841,0.346710160072663,0.352589899766781
Sugar added to tea,"Atrial fibrillation (AFGen 2018, EUR)",ukb-b-8442,ebi-a-GCST006061,537409,rs72682980,0.566595404151918,0.385518522412645,0.141643843816871
Sugar added to tea,"Atrial fibrillation (AFGen 2018, EUR)",ukb-b-8442,ebi-a-GCST006061,537409,rs72867690,0.0327659620944627,0.494609999235461,0.947181929271417
Sugar added to tea,"Atrial fibrillation (AFGen 2018, EUR)",ukb-b-8442,ebi-a-GCST006061,537409,rs78233450,0.533628060563734,0.518032831347767,0.302960853512481
Sugar added to tea,"Atrial fibrillation (AFGen 2018, EUR)",ukb-b-8442,ebi-a-GCST006061,537409,rs7910578,0.237371555098945,0.441362735262101,0.590704688184935
Sugar added to tea,"Atrial fibrillation (AFGen 2018, EUR)",ukb-b-8442,ebi-a-GCST006061,537409,rs9851099,-0.478618354762001,0.372818507919874,0.199217619108388
Sugar added to tea,"Atrial fibrillation (AFGen 2018, EUR)",ukb-b-8442,ebi-a-GCST006061,537409,All - Inverse variance weighted,-0.0282437931866662,0.107615639218598,0.792974036841846
Sugar added to tea,"Atrial fibrillation (AFGen 2018, EUR)",ukb-b-8442,ebi-a-GCST006061,537409,All - MR Egger,0.289053313475274,0.315471363440505,0.374027686042526
