exposure,outcome,id.exposure,id.outcome,samplesize,SNP,b,se,p
Sugar added to tea,"Atrial fibrillation (AFGen 2018, EUR)",ukb-b-8442,ebi-a-GCST006061,537409,rs11643519,-0.027844296105663,0.114546119916789,0.80794054823873
Sugar added to tea,"Atrial fibrillation (AFGen 2018, EUR)",ukb-b-8442,ebi-a-GCST006061,537409,rs12184890,-0.0429097296890044,0.114764952601857,0.708484460935098
Sugar added to tea,"Atrial fibrillation (AFGen 2018, EUR)",ukb-b-8442,ebi-a-GCST006061,537409,rs148796113,-0.0367295623318122,0.113699484559035,0.746664410597801
Sugar added to tea,"Atrial fibrillation (AFGen 2018, EUR)",ukb-b-8442,ebi-a-GCST006061,537409,rs237362,-0.0406198868231487,0.113959233467213,0.721509385262841
Sugar added to tea,"Atrial fibrillation (AFGen 2018, EUR)",ukb-b-8442,ebi-a-GCST006061,537409,rs2527164,-0.05001138230844,0.111912034879584,0.654960852474613
Sugar added to tea,"Atrial fibrillation (AFGen 2018, EUR)",ukb-b-8442,ebi-a-GCST006061,537409,rs4750827,-0.0415280293392866,0.113699142095901,0.714928620701575
Sugar added to tea,"Atrial fibrillation (AFGen 2018, EUR)",ukb-b-8442,ebi-a-GCST006061,537409,rs506917,-0.00855898184774958,0.111579041394472,0.938856006052504
Sugar added to tea,"Atrial fibrillation (AFGen 2018, EUR)",ukb-b-8442,ebi-a-GCST006061,537409,rs549845,-0.0351998226173062,0.114166669938873,0.757839149325652
Sugar added to tea,"Atrial fibrillation (AFGen 2018, EUR)",ukb-b-8442,ebi-a-GCST006061,537409,rs56094641,0.0804656771709477,0.100383451287217,0.422794161922523
Sugar added to tea,"Atrial fibrillation (AFGen 2018, EUR)",ukb-b-8442,ebi-a-GCST006061,537409,rs5771839,-0.000302086353558662,0.108608457397741,0.997780746246399
Sugar added to tea,"Atrial fibrillation (AFGen 2018, EUR)",ukb-b-8442,ebi-a-GCST006061,537409,rs58566315,-0.0320332553514148,0.114852034580692,0.780314733421125
Sugar added to tea,"Atrial fibrillation (AFGen 2018, EUR)",ukb-b-8442,ebi-a-GCST006061,537409,rs6737082,-0.0565932903408158,0.112410734494696,0.614647262336889
Sugar added to tea,"Atrial fibrillation (AFGen 2018, EUR)",ukb-b-8442,ebi-a-GCST006061,537409,rs72682980,-0.0665605472216352,0.107385151615026,0.535369662062093
Sugar added to tea,"Atrial fibrillation (AFGen 2018, EUR)",ukb-b-8442,ebi-a-GCST006061,537409,rs72867690,-0.0305724745693638,0.113202814389983,0.787107825161806
Sugar added to tea,"Atrial fibrillation (AFGen 2018, EUR)",ukb-b-8442,ebi-a-GCST006061,537409,rs78233450,-0.0477286229223445,0.10966501104797,0.663401311874725
Sugar added to tea,"Atrial fibrillation (AFGen 2018, EUR)",ukb-b-8442,ebi-a-GCST006061,537409,rs7910578,-0.0411014022679597,0.112749638365993,0.715457133450304
Sugar added to tea,"Atrial fibrillation (AFGen 2018, EUR)",ukb-b-8442,ebi-a-GCST006061,537409,rs9851099,0.00291648311996558,0.110487874119421,0.978941158318957
Sugar added to tea,"Atrial fibrillation (AFGen 2018, EUR)",ukb-b-8442,ebi-a-GCST006061,537409,All,-0.0282437931866662,0.107615639218598,0.792974036841846
